FirstName,LastName,Username,Department,Title
Bob,Smith,bsmith,Finance,Financial Analyst
Chloe,Baker,cbaker,Finance,Accounts Payable Clerk
David,Owusu,dowusu,HR,HR Advisor
Emma,Clarke,eclarke,HR,Recruitment Coordinator
Frank,Miller,fmiller,Sales,Account Executive
Grace,Lin,glin,Sales,Sales Operations Analyst
Henry,Patel,hpatel,IT,Infrastructure Engineer
Isla,Murray,imurray,IT,Service Desk Analyst
Jonas,Weber,jweber,Contractors,External Consultant
Kim,Adeyemi,kadeyemi,Contractors,Contract Developer
